ID	BM_SRS013506	BM_SRS015374	BM_SRS015646	BM_SRS017687	BM_SRS019221	BM_SRS019329	BM_SRS020336	BM_SRS022145	BM_SRS022532	BM_SRS045049	TD_SRS011243	TD_SRS013234	TD_SRS014888	TD_SRS015941	TD_SRS016086	TD_SRS016342	TD_SRS017713	TD_SRS019219	TD_SRS019327	TD_SRS043663
k__Bacteria|p__Chlamydiae|c__Chlamydiae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00195	0.0	0.0	0.0	0.0	0.0	0.00081	0.00215
k__Bacteria|p__Chlamydiae|c__Chlamydiae|o__Chlamydiales	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00195	0.0	0.0	0.0	0.0	0.0	0.00081	0.00215
k__Bacteria|p__Chlamydiae|c__Chlamydiae|o__Chlamydiales|f__Chlamydiaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00195	0.0	0.0	0.0	0.0	0.0	0.00081	0.00215
k__Bacteria|p__Chlamydiae|c__Chlamydiae|o__Chlamydiales|f__Chlamydiaceae|g__Chlamydiaceae_unclassified	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00195	0.0	0.0	0.0	0.0	0.0	0.00081	0.00215
k__Bacteria|p__Firmicutes	80.97874	71.79918	81.14113	73.38709	75.44463	50.80718	85.81692	72.25042	83.33936	49.32253	30.17584	73.08153	22.22967	61.40123	35.89918	41.28422	27.0242	48.36113	39.45619	39.18965
k__Bacteria|p__Firmicutes|c__Bacilli	80.62406	71.54563	80.9876	69.89664	72.38603	46.62163	79.60886	71.86149	82.86782	47.92054	22.55078	61.00048	15.3497	35.49217	22.9654	30.4417	17.55165	17.39148	20.94486	28.83135
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales	3.87782	15.85186	3.7739	7.63468	27.04004	2.66321	2.66007	1.06749	9.06168	5.87659	0.46705	0.11699	0.50112	0.28648	0.04241	0.17991	0.19539	0.12077	0.87977	0.29753
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillales_uncl	3.87782	15.85186	3.7739	7.63468	27.04004	2.66321	2.66007	1.06749	9.06045	5.87659	0.46705	0.11582	0.50112	0.28648	0.04241	0.17991	0.19539	0.12077	0.87977	0.29753
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillales_uncl|g__Gemella	3.87782	15.85186	3.7739	7.63468	27.04004	2.66321	2.66007	1.06749	9.06045	5.87659	0.46705	0.11582	0.50112	0.28648	0.04241	0.17991	0.19539	0.12077	0.87977	0.29753
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillales_uncl|g__Gemella|s__Gemella_haemolysans	3.81909	15.82886	3.7527	7.40319	27.02665	1.97732	2.44038	1.03348	8.88891	5.71326	0.13499	0.06907	0.04835	0.02242	0.00173	0.04637	0.11808	0.02706	0.07742	0.02445
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillales_uncl|g__Gemella|s__Gemella_moribillum	0.05873	0.023	0.0212	0.23149	0.01339	0.6859	0.21969	0.03402	0.17153	0.14584	0.02336	0.02168	0.04309	0.01117	0.00107	0.01124	0.04528	0.01047	0.14062	0.01461
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillales_uncl|g__Gemella|s__Gemella_unclassified	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01749	0.30871	0.02507	0.40967	0.25289	0.03961	0.12231	0.03203	0.08324	0.66173	0.25847
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00124	0.0	0.0	0.00117	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Staphylococcus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00124	0.0	0.0	0.00117	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Staphylococcus|s__Staphylococcus_epidermidis	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00124	0.0	0.0	0.00117	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	76.74624	55.69377	77.2137	62.26196	45.346	43.95842	76.94879	70.794	73.80613	42.04396	22.08373	60.88349	14.84858	35.20569	22.92299	30.26179	17.35626	17.27071	20.06509	28.53382
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Aerococcaceae	0.07332	0.03486	0.0	0.12123	0.03016	1.25189	0.0	0.0	0.48457	2.18388	0.03318	0.02654	0.01177	0.0	0.0	0.00213	0.00691	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Aerococcaceae|g__Abiotrophia	0.07332	0.03486	0.0	0.12123	0.03016	1.25189	0.0	0.0	0.48457	2.18388	0.03318	0.02654	0.01177	0.0	0.0	0.00213	0.00691	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Aerococcaceae|g__Abiotrophia|s__Abiotrophia_defectiva	0.07332	0.03486	0.0	0.12123	0.03016	1.25189	0.0	0.0	0.48457	2.18388	0.03318	0.02654	0.01177	0.0	0.0	0.00213	0.00691	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Carnobacteriaceae	1.66794	0.08034	0.14354	0.5977	0.09831	1.68799	0.89256	0.11404	5.93976	3.93575	1.99595	2.07696	0.88966	1.94725	1.56522	1.73026	2.70065	0.8117	0.88488	2.20686
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Carnobacteriaceae|g__Granulicatella	1.66794	0.08034	0.14354	0.5977	0.09831	1.68799	0.89256	0.11404	5.93976	3.93575	1.99595	2.07696	0.88966	1.94725	1.56522	1.73026	2.70065	0.8117	0.88488	2.20686
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Carnobacteriaceae|g__Granulicatella|s__Granulicatella_adiacens	0.06362	0.02247	0.02684	0.55579	0.09831	0.24903	0.51469	0.05223	0.07118	0.30152	1.06444	0.92751	0.50314	1.09007	0.83431	1.05056	1.52256	0.46735	0.51028	1.14584
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Carnobacteriaceae|g__Granulicatella|s__Granulicatella_elegans	1.60432	0.02205	0.1167	0.03443	0.0	1.43896	0.28717	0.06181	5.86858	3.63423	0.00955	0.00022	0.00996	0.00249	0.0	0.00485	0.00158	0.0	0.00431	0.00133
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Carnobacteriaceae|g__Granulicatella|s__Granulicatella_unclassified	0.0	0.03582	0.0	0.00749	0.0	0.0	0.0907	0.0	0.0	0.0	0.92196	1.14923	0.37656	0.85469	0.73091	0.67485	1.17651	0.34435	0.37029	1.05969
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae	0.03451	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00241	0.00476	0.00262	0.0	0.00041	0.0	0.00184	0.00119	0.0	0.0	0.00169
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae|g__Enterococcus	0.03451	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00241	0.00476	0.00262	0.0	0.00041	0.0	0.00184	0.00119	0.0	0.0	0.00169
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae|g__Enterococcus|s__Enterococcus_faecalis	0.03451	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae|g__Enterococcus|s__Enterococcus_unclassified	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00241	0.00476	0.00262	0.0	0.00041	0.0	0.00184	0.00119	0.0	0.0	0.00169
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae	0.0	0.0	0.0	0.00563	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0029	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus	0.0	0.0	0.0	0.00563	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0029	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus_crispatus	0.0	0.0	0.0	0.00563	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0029	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae	74.97048	55.57857	77.07016	61.5374	45.21752	41.01855	76.05623	70.67996	67.3818	35.92192	20.04983	58.77737	13.94426	33.25803	21.35777	28.52756	14.64751	16.45902	19.18022	26.32527
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Lactococcus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01571	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00111	0.06044	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Lactococcus|s__Lactococcus_lactis	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01571	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00111	0.06044	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus	74.97048	55.57857	77.07016	61.5374	45.21752	41.01855	76.05623	70.66425	67.3818	35.92192	20.04983	58.77737	13.94426	33.25803	21.35777	28.52756	14.6464	16.39858	19.18022	26.32527
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_agalactiae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01381	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_anginosus	0.0	0.0	0.0	0.08421	0.0	0.0	0.08418	0.0	0.0	0.0	0.00378	0.00742	0.00033	0.0	0.0	0.00666	0.02614	0.0	0.0	0.00241
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_australis	0.56275	0.0	0.12575	0.08728	0.27614	0.2179	0.00512	0.51459	0.03766	0.60606	4.9407	0.07069	8.82773	0.03122	0.514	0.78261	0.04828	0.19314	5.985	13.2387
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_cristatus	0.01495	0.02461	0.00574	0.93353	0.0	0.02346	0.64358	0.09413	0.23323	0.50578	0.00363	0.00633	0.00754	0.0	0.0	0.03658	0.14879	0.0	0.00387	0.00101
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_gordonii	0.13231	0.05224	0.01298	0.13309	0.38009	0.8004	0.37815	0.0103	0.14004	1.18264	0.00193	0.0175	0.01199	0.00497	0.00016	0.04565	0.02013	0.00609	0.00521	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_infantis	0.28352	0.0858	0.18346	0.86962	0.45254	0.10616	1.17487	0.97215	0.25113	0.09017	5.03481	1.6864	3.52349	6.81365	1.84148	7.04089	2.94976	2.50903	5.40652	3.48926
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_mitis	71.5216	53.79061	75.44594	51.56652	40.49703	31.5021	60.15116	67.40296	64.3622	29.96148	1.37343	0.46073	0.53805	0.48543	0.04546	1.32164	0.72907	0.08821	0.47626	0.48453
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_mutans	0.0	0.00032	0.0	0.0123	0.0	0.0	0.0	0.0	0.0	0.0	0.00029	0.0086	0.0	0.0	0.0	0.00359	0.00114	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_oralis	1.31296	0.51136	0.33099	1.41678	0.1589	2.59649	3.10981	0.03531	1.07724	1.95654	0.07394	0.04276	0.12177	0.02393	0.00749	0.24154	0.27616	0.04191	0.08079	0.05164
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_parasanguinis	0.23182	0.09469	0.1017	0.96719	0.5009	0.02902	5.04731	0.04019	0.0283	0.12977	6.22925	44.3503	0.33885	17.02936	7.69271	13.06741	7.95288	8.49032	2.30726	4.06658
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_peroris	0.01821	0.0	0.02171	0.05864	0.00634	0.0232	0.09591	0.02759	0.00392	0.01562	0.52735	0.15767	0.25174	1.27938	0.25166	0.43899	0.31069	0.44692	0.50708	0.40678
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_pneumoniae	0.03351	0.0	0.01584	0.05822	0.0	0.03083	0.0	0.07995	0.0	0.0079	0.00513	0.0	0.00391	0.00132	0.0	0.0	0.0	0.0	0.00117	0.00195
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_salivarius	0.17461	0.06223	0.06936	0.38618	0.38492	0.05495	2.78221	0.20059	0.13205	0.15984	1.55415	11.10251	0.2641	6.5952	9.6482	4.59932	1.68124	4.25507	4.05135	4.36795
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_sanguinis	0.54642	0.94969	0.09651	3.81196	1.51917	5.52309	1.55654	1.06925	1.04936	1.04266	0.12059	0.20912	0.04258	0.02495	0.00842	0.18846	0.38677	0.0211	0.03471	0.05036
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_thermophilus	0.00444	0.00702	0.0	0.00363	0.0	0.0	0.02038	0.0	0.0	0.0	0.05481	0.15344	0.00233	0.35057	0.25422	0.16666	0.03737	0.07721	0.09663	0.00935
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_vestibularis	0.13338	0.0	0.66018	1.14823	1.04148	0.11094	1.007	0.20344	0.06667	0.26346	0.12603	0.50391	0.00984	0.61805	1.09399	0.58755	0.07799	0.26958	0.22437	0.15475
k__Bacteria|p__Firmicutes|c__Clostridia	0.01949	0.0	0.01136	0.46078	0.00846	0.10951	0.22129	0.02288	0.04611	0.11982	0.44424	0.24936	0.68443	3.71425	1.242	1.17662	1.27578	1.39683	4.47996	0.75567
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	0.01949	0.0	0.01136	0.46078	0.00846	0.10951	0.22129	0.02288	0.04611	0.11982	0.44424	0.24936	0.68443	3.71425	1.242	1.17662	1.27578	1.39683	4.47996	0.75567
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_Family_XI_Incertae_Sedis	0.0	0.0	0.00437	0.11783	0.0	0.08519	0.14517	0.0147	0.02334	0.03787	0.02931	0.01749	0.15328	0.02576	0.01153	0.01016	0.03429	0.03835	1.17903	0.11437
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_Family_XI_Incertae_Sedis|g__Anaerococcus	0.0	0.0	0.00292	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0087	0.00429	0.00302	0.01258	0.00632	0.00382	0.00069	0.01186	0.43244	0.02465
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_Family_XI_Incertae_Sedis|g__Anaerococcus|s__Anaerococcus_unclassified	0.0	0.0	0.00292	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0087	0.00429	0.00302	0.01258	0.00632	0.00382	0.00069	0.01186	0.43244	0.02465
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_Family_XI_Incertae_Sedis|g__Clostridiales_Family_XI_Incertae_Sedis_unclassified	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01716	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_Family_XI_Incertae_Sedis|g__Parvimonas	0.0	0.0	0.00145	0.0334	0.0	0.0	0.14517	0.00918	0.0	0.0315	0.017	0.01219	0.14456	0.00017	0.00142	0.00041	0.01045	0.00856	0.69403	0.03612
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_Family_XI_Incertae_Sedis|g__Parvimonas|s__Parvimonas_micros	0.0	0.0	0.00145	0.0334	0.0	0.0	0.14517	0.00918	0.0	0.0315	0.017	0.01219	0.14456	0.00017	0.00142	0.00041	0.01045	0.00856	0.69403	0.03612
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_Family_XI_Incertae_Sedis|g__Peptoniphilus	0.0	0.0	0.0	0.08443	0.0	0.08519	0.0	0.00552	0.00618	0.00638	0.00361	0.00101	0.00569	0.01301	0.0038	0.00593	0.02315	0.01793	0.05257	0.0536
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_Family_XI_Incertae_Sedis|g__Peptoniphilus|s__Peptoniphilus_unclassified	0.0	0.0	0.0	0.08443	0.0	0.08519	0.0	0.00552	0.00618	0.00638	0.00361	0.00101	0.00569	0.01301	0.0038	0.00593	0.02315	0.01793	0.05257	0.0536
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_uncl	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00077	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_uncl|g__Blautia	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00077	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_uncl|g__Blautia|s__Blautia_unclassified	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00077	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae	0.00108	0.0	0.0005	0.11597	0.0	0.02376	0.01485	0.00379	0.01678	0.02995	0.01876	0.10364	0.01402	0.1435	0.08471	0.10603	0.09158	0.4737	0.07594	0.01248
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium	0.00108	0.0	0.0005	0.11597	0.0	0.02376	0.01485	0.00379	0.01678	0.02995	0.01876	0.10364	0.01402	0.1435	0.08471	0.10603	0.09158	0.4737	0.07594	0.01248
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_rectale	0.0	0.0	0.0	0.00491	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0023	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_saburreum	0.00108	0.0	0.0005	0.10328	0.0	0.02376	0.00877	0.00379	0.01678	0.02995	0.01876	0.10364	0.01402	0.1435	0.08471	0.10603	0.08843	0.4737	0.07594	0.01194
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_saphenum	0.0	0.0	0.0	0.00777	0.0	0.0	0.00609	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00085	0.0	0.0	0.00054
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae	0.01842	0.0	0.00649	0.22358	0.00174	0.00057	0.06127	0.00407	0.00599	0.052	0.37496	0.12823	0.4349	3.51837	1.14384	1.0455	1.13187	0.66981	2.8697	0.5565
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Butyrivibrio	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00112	0.0	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Butyrivibrio|s__Butyrivibrio_unclassified	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00112	0.0	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Catonella	0.0	0.0	0.0	0.02252	0.0	0.0	0.0	0.00131	0.0	0.0	0.00077	0.00692	0.00327	0.01428	0.00165	0.00255	0.00727	0.0081	0.01412	0.00213
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Catonella|s__Catonella_morbi	0.0	0.0	0.0	0.02252	0.0	0.0	0.0	0.00131	0.0	0.0	0.00077	0.00692	0.00327	0.01428	0.00165	0.00255	0.00727	0.0081	0.01412	0.00213
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Oribacterium	0.01842	0.0	0.00649	0.20029	0.00174	0.00057	0.06127	0.00276	0.00599	0.052	0.3742	0.12131	0.43163	3.50409	1.14219	1.04274	1.11912	0.66059	2.85557	0.55415
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Oribacterium|s__Oribacterium_sinus	0.01842	0.0	0.00649	0.20029	0.00174	0.00057	0.06127	0.00276	0.00599	0.052	0.3742	0.12131	0.43163	3.50409	1.14219	1.04274	1.11912	0.66059	2.85557	0.55415
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Shuttleworthia	0.0	0.0	0.0	0.00077	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0002	0.00549	0.0	0.0	0.00022
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Shuttleworthia|s__Shuttleworthia_satelles	0.0	0.0	0.0	0.00077	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0002	0.00549	0.0	0.0	0.00022
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptostreptococcaceae	0.0	0.0	0.0	0.0034	0.00672	0.0	0.0	0.00032	0.0	0.0	0.02065	0.0	0.08224	0.02584	0.00192	0.01493	0.01804	0.21497	0.35529	0.07232
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptostreptococcaceae|g__Peptostreptococcus	0.0	0.0	0.0	0.0034	0.00672	0.0	0.0	0.00032	0.0	0.0	0.02065	0.0	0.08224	0.02584	0.00192	0.01493	0.01804	0.21497	0.35529	0.07232
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptostreptococcaceae|g__Peptostreptococcus|s__Peptostreptococcus_stomatis	0.0	0.0	0.0	0.0034	0.0	0.0	0.0	0.00032	0.0	0.0	0.02065	0.0	0.08224	0.02584	0.00192	0.01493	0.01804	0.21497	0.35529	0.07232
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptostreptococcaceae|g__Peptostreptococcus|s__Peptostreptococcus_unclassified	0.0	0.0	0.0	0.0	0.00672	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00055	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00055	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcus|s__Ruminococcus_bromii	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00055	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Erysipelotrichi	0.0022	0.0	0.01061	0.02749	0.0	0.0	0.0	0.00114	0.0	0.01816	0.03324	0.03106	0.13956	0.84688	0.19689	0.38534	0.14993	1.25686	1.26968	0.20339
k__Bacteria|p__Firmicutes|c__Erysipelotrichi|o__Erysipelotrichales	0.0022	0.0	0.01061	0.02749	0.0	0.0	0.0	0.00114	0.0	0.01816	0.03324	0.03106	0.13956	0.84688	0.19689	0.38534	0.14993	1.25686	1.26968	0.20339
k__Bacteria|p__Firmicutes|c__Erysipelotrichi|o__Erysipelotrichales|f__Erysipelotrichaceae	0.0022	0.0	0.01061	0.02749	0.0	0.0	0.0	0.00114	0.0	0.01816	0.03324	0.03106	0.13956	0.84688	0.19689	0.38534	0.14993	1.25686	1.26968	0.20339
k__Bacteria|p__Firmicutes|c__Erysipelotrichi|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Bulleidia	0.0	0.0	0.0	0.01063	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00651	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Erysipelotrichi|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Bulleidia|s__Bulleidia_extructa	0.0	0.0	0.0	0.01063	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00651	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Erysipelotrichi|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Solobacterium	0.0022	0.0	0.01061	0.01686	0.0	0.0	0.0	0.00114	0.0	0.01816	0.03324	0.03106	0.13956	0.84688	0.19689	0.38534	0.14342	1.25686	1.26968	0.20339
