label	kingdom	phylum	class	order	family	genus
Tepidimonas	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Tepidimonas
Acidibacter	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	unidentified_Xanthomonadales	Acidibacter
Novosphingobium	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Novosphingobium
Methylobacillus	Bacteria	Proteobacteria	Betaproteobacteria	Methylophilales	Methylophilaceae	Methylobacillus
Arthrobacter	Bacteria	Actinobacteria	unidentified_Actinobacteria	Micrococcales	Micrococcaceae	Arthrobacter
Glycomyces	Bacteria	Actinobacteria	unidentified_Actinobacteria	Glycomycetales	Glycomycetaceae	Glycomyces
Bryobacter	Bacteria	Acidobacteria	unidentified_Acidobacteria	Subgroup_3	unidentified_Acidobacteria	Bryobacter
Blastocatella	Bacteria	Acidobacteria	unidentified_Acidobacteria	Subgroup_4	unidentified_Acidobacteria	Blastocatella
Steroidobacter	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	unidentified_Xanthomonadales	Steroidobacter
Gaiella	Bacteria	Actinobacteria	Thermoleophilia	Gaiellales	Gaiellaceae	Gaiella
Hyphomicrobium	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae	Hyphomicrobium
Chryseolinea	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Cytophagaceae	Chryseolinea
Massilia	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Massilia
unidentified_Nitrospiraceae	Bacteria	Nitrospirae	Nitrospira	Nitrospirales	Nitrospiraceae	unidentified_Nitrospiraceae
Bradyrhizobium	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Bradyrhizobium
Ohtaekwangia	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Cytophagaceae	Ohtaekwangia
Roseiflexus	Bacteria	Chloroflexi	Chloroflexia	Chloroflexales	Roseiflexaceae	Roseiflexus
Devosia	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae	Devosia
Promicromonospora	Bacteria	Actinobacteria	unidentified_Actinobacteria	Micrococcales	Promicromonosporaceae	Promicromonospora
Serratia	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Serratia
Agromyces	Bacteria	Actinobacteria	unidentified_Actinobacteria	Micrococcales	Microbacteriaceae	Agromyces
Phenylobacterium	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Phenylobacterium
Enterococcus	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus
Flavisolibacter	Bacteria	Bacteroidetes	Sphingobacteriia	Sphingobacteriales	Chitinophagaceae	Flavisolibacter
Methylotenera	Bacteria	Proteobacteria	Betaproteobacteria	Methylophilales	Methylophilaceae	Methylotenera
Dyadobacter	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Cytophagaceae	Dyadobacter
unidentified_Methylophilaceae	Bacteria	Proteobacteria	Betaproteobacteria	Methylophilales	Methylophilaceae	unidentified_Methylophilaceae
Altererythrobacter	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Erythrobacteraceae	Altererythrobacter
Cellulosimicrobium	Bacteria	Actinobacteria	unidentified_Actinobacteria	Micrococcales	Promicromonosporaceae	Cellulosimicrobium
Candidatus_Nitrososphaera	Archaea	Thaumarchaeota	.SCG.	unidentified_.SCG.	unidentified_.SCG.	Candidatus_Nitrososphaera
Variovorax	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Variovorax
Solirubrobacter	Bacteria	Actinobacteria	Thermoleophilia	Solirubrobacterales	Solirubrobacteraceae	Solirubrobacter
Woodsholea	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Hyphomonadaceae	Woodsholea
Candidatus_Entotheonella	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfobacterales	Nitrospinaceae	Candidatus_Entotheonella
Sporosarcina	Bacteria	Firmicutes	Bacilli	Bacillales	Planococcaceae	Sporosarcina
Terribacillus	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Terribacillus
Illumatobacter	Bacteria	Actinobacteria	Acidimicrobiia	Acidimicrobiales	Acidimicrobiaceae	Illumatobacter
Gemmatimonas	Bacteria	Gemmatimonadetes	unidentified_Gemmatimonadetes	Gemmatimonadales	Gemmatimonadaceae	Gemmatimonas
Terrimonas	Bacteria	Bacteroidetes	Sphingobacteriia	Sphingobacteriales	Chitinophagaceae	Terrimonas
Chitinophaga	Bacteria	Bacteroidetes	Sphingobacteriia	Sphingobacteriales	Chitinophagaceae	Chitinophaga
Bifidobacterium	Bacteria	Actinobacteria	unidentified_Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium
Lysinibacillus	Bacteria	Firmicutes	Bacilli	Bacillales	Planococcaceae	Lysinibacillus
Nocardioides	Bacteria	Actinobacteria	unidentified_Actinobacteria	Propionibacteriales	Nocardioidaceae	Nocardioides
unidentified_Gemmatimonadetes	Bacteria	Gemmatimonadetes	unidentified_Gemmatimonadetes	Gemmatimonadales	Gemmatimonadaceae	unidentified_Gemmatimonadetes
Methylophilus	Bacteria	Proteobacteria	Betaproteobacteria	Methylophilales	Methylophilaceae	Methylophilus
Iamia	Bacteria	Actinobacteria	Acidimicrobiia	Acidimicrobiales	Iamiaceae	Iamia
Opitutus	Bacteria	Verrucomicrobia	Opitutae	Opitutales	Opitutaceae	Opitutus
Aeromicrobium	Bacteria	Actinobacteria	unidentified_Actinobacteria	Propionibacteriales	Nocardioidaceae	Aeromicrobium
Pseudonocardia	Bacteria	Actinobacteria	unidentified_Actinobacteria	Pseudonocardiales	Pseudonocardiaceae	Pseudonocardia
Aquicella	Bacteria	Proteobacteria	Gammaproteobacteria	Legionellales	Coxiellaceae	Aquicella
Polycyclovorans	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Solimonadaceae	Polycyclovorans
Bosea	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Bosea
Marmoricola	Bacteria	Actinobacteria	unidentified_Actinobacteria	Propionibacteriales	Nocardioidaceae	Marmoricola
