	Ensifer	Pantoea	Enterobacter	Pseudomonas	Bacillus	Lysobacter	Rhizobium	Acinetobacter	Streptomyces	Pseudoxanthomonas	Anoxybacillus	Chryseobacterium	Tepidimonas	Acidibacter	Novosphingobium	Methylobacillus	Arthrobacter	Glycomyces	Bryobacter	Blastocatella	Steroidobacter	Gaiella	Hyphomicrobium	Chryseolinea	Massilia	unidentified_Nitrospiraceae	Bradyrhizobium	Ohtaekwangia	Roseiflexus	Devosia	Promicromonospora	Serratia	Agromyces	Phenylobacterium	Enterococcus	Flavisolibacter	Methylotenera	Dyadobacter	unidentified_Methylophilaceae	Altererythrobacter	Cellulosimicrobium	Candidatus_Nitrososphaera	Variovorax	Solirubrobacter	Woodsholea	Candidatus_Entotheonella	Sporosarcina	Terribacillus	Illumatobacter	Gemmatimonas	Terrimonas	Chitinophaga	Bifidobacterium	Lysinibacillus	Modestobacter	Nocardioides	unidentified_Gemmatimonadetes	Methylophilus	Iamia	Opitutus	Aeromicrobium	Pseudonocardia	Aquicella	Polycyclovorans	Bosea	Marmoricola	Paenibacillus	Microvirga	Skermanella	Sorangium	Cellvibrio	Candidatus_Glomeribacter	Flavobacterium	Pedomicrobium	Niastella	Ramlibacter	Haloferula	Parasegetibacter	unidentified_GR-WP33-30	Variibacter	Kribbella	Lysinimonas	Exiguobacterium	Rhizocola	Bdellovibrio	Escherichia-Shigella	Dongia	Paucibacter	Fictibacillus	Candidatus_Alysiosphaera	Nordella	Sphingopyxis	Mycobacterium	Simiduia	Parafilimonas	Domibacillus	Reyranella	Polyangium	Ferruginibacter	Solitalea	Staphylococcus	Luteibacter	Blautia	Blastococcus	Acidovorax	Dechloromonas	Rhizobacter	Cellulomonas	unidentified_Cytophagaceae	Corynebacterium_1	Marinicella	Nitrosospira	Actinophytocola	Euzebya	Paracocccus	Rubellimicrobium	AKYG587	Aquabacterium	Niabella	Sporocytophaga	Nitrolancea	Luteolibacter	Agaricicola	Prosthecobacter
Anoxybacillus	0	0	0.9	0	0.864285714285714	0	0.902591960056311	0	0	0.721428571428571	0	0	0.975	0.835714285714286	0	0.900804649244318	0	0	0	0	0.7095623923611	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.832142857142857	0.795353311336749	0.942857142857143	0	0.934763554672179	0	0	0	0.757142857142857	0	0	0.903571428571429	0	0	0	0	0	0	0.889285714285714	0	0	0	0	0.865833227994535	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.735714285714286	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.871428571428571	0	0	0	0	0.732797432917005	0	0	0	0.741733986976968	0	0	0	0	0	0	0	0	0	0	0	0	0	0.845398014072545	0	0	0	0	0	0	0	0.734584743728998	0	0	0
Chryseobacterium	-0.7	0	0	0	0	0.860714285714286	0	0	-0.821428571428571	0	0	0	0	0	0.760714285714286	0	0	0	0.728571428571429	0	0	0	0.796428571428571	0	0.7	0	0.757142857142857	0	0.75	0	0	0	0	0	0.810714285714286	0	0	0	0	0	0	0.878571428571429	0	0	0.75627725928295	0	0	0.753571428571429	0.773905581592837	0	0	0.757142857142857	0	0	0	0.767857142857143	0.825737595140625	0.725	0	0	0	0.785714285714286	0	0	0	0	0	0	0.710714285714286	0.75603247347291	0.739285714285714	0	0	0	0	0	0.785714285714286	0	0	0.792857142857143	0.825	-0.725	0	0.764285714285714	0	0	0	0.743521297788961	0	0	0	0.728571428571429	0	0	0	0	0.835714285714286	0	0	0.75603247347291	0.721428571428571	0.732142857142857	0	0.809651797832691	0.800715243772727	0.746428571428571	0.742857142857143	0	0	0	0	0	0	0	0	0	0	0.761394405908888	0	0	0	0.722720297747505	0.857142857142857	0
Tepidimonas	0	0	0.832142857142857	0	0.892857142857143	0	0.870420365440442	0	0	0	0.975	0	0	0.8	0	0.906166581680296	0	0	0	0	0.727435500481027	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.807142857142857	0.731010122105012	0.921428571428571	0	0.950849351980114	0	0	0	0.735714285714286	0	0	0.882142857142857	0	0	0	0	0	0	0.932142857142857	0	0	0	0	0.813954790779987	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.85	0	0	0	0	0	0	0	0	0.777480203216822	0	0	0	0	0	0	0	0	0	0	0	0	0	0.845398014072545	-0.710714285714286	0	0	0	0	0	0	0.729222811293019	0	0	0
Acidibacter	0	0	0.742857142857143	0	0	0	0.84897263569653	0	0	0.860714285714286	0.835714285714286	0	0.8	0	0	0.711349703173092	0.810714285714286	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.710714285714286	0.731010122105012	0.875	0	0.798927932960734	0	0	0	0	0	0	0.914285714285714	0	0	0	0	0	0	0.796428571428571	0	0	0	0	0.729875944259856	0	0	0	0	0	0	0.770330959968851	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.846428571428571	0.728571428571429	0	0	0	0.760714285714286	0.852547257320515	0	0	0	0.7095623923611	0	0	0	0	0	0	0	0	0.82931221676461	0	0	-0.703571428571429	0	0	0	0	0	0	0	0	0	0.707775081549107	0	0	0.756709618681174
Novosphingobium	-0.914285714285714	0	0	0	0	0.764285714285714	0	0	-0.8	0	0	0.760714285714286	0	0	0	0	0	0.875	0.957142857142857	0	0	0.907142857142857	0.885714285714286	0	0.825	0	0.942857142857143	0	0.957142857142857	0	0.878571428571429	0	0	0	0.935714285714286	0	0	0	0	0	0	0.882142857142857	0.803571428571429	0	0.888894598588491	0	0	0.882142857142857	0.818588351892654	0	0.739285714285714	0.882142857142857	0.865058433004464	0	0	0.771428571428571	0.927614311424208	0.8	0	0.93190562755245	0	0.903571428571429	0	-0.803571428571429	0.848439023942662	0	0.732142857142857	0.885714285714286	0.882142857142857	0.813226419456676	0.878571428571429	0.785714285714286	0.846428571428571	0	0	0	0.946428571428571	0.924039689800223	0.823950284328632	0.935714285714286	0.878571428571429	0	0	0.914285714285714	0.728571428571429	0.967857142857143	0.932976243860187	0.954423973604099	0	0	0	0.935714285714286	0.944545339630402	0	0	0	0	0.882142857142857	0	0	0.917857142857143	0	0.87835560939115	0.943700108732143	0.92225237898823	0.821428571428571	0.964285714285714	0	0	0	0	0.931188933048194	0	0	0	0.925827000612216	0	0.927614311424208	0	0	0	0.919500576837172	0.914285714285714	0
Methylobacillus	0	0	0.863271122192471	0	0.795353311336749	0	0.746869409660107	0	0	0	0.900804649244318	0	0.906166581680296	0.711349703173092	0	0	0	0	0	0	0.776386404293381	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.759607095096895	0.866726296958855	0.852547257320515	0	0.947227191413238	0	0	0	0.727435500481027	0	0	0.843610703260552	0	0	0	0	0	0	0.881144230312398	0	0	0	0	0.908684339079899	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.763181716720881	0	0	0	0	0	0	0	0	0	0	-0.747095919412946	0	0	0	0.727435500481027	0.938338176296165	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.769230769230769	-0.718498946421063	0	0	0	0	0	0	0	0	0	0
Arthrobacter	0	0	0	0	0	0	0.718498946421063	0	0	0.935714285714286	0	0	0	0.810714285714286	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.710714285714286	0.710714285714286	0	0.773905581592837	0	0	0	0.75	0	0	0	0	0	0	0	0	0.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.828571428571429	0	0.850759946508523	0	-0.742857142857143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.710714285714286	0	0	0	0	0.860714285714286	0.809651797832691	0	0	0	0	0	0	0	0	0	0	0	0	0.91510313574026	0	0	-0.921428571428571	0	0	0	0	0	0.728571428571429	0	0	0	0.713137013985085	0	0	0.713775739607065
Glycomyces	-0.892857142857143	0	0	0	0	0.7	0	-0.707775081549107	-0.728571428571429	0	0	0	0	0	0.875	0	0	0	0.907142857142857	0	0	0.907142857142857	0.725	0	0.878571428571429	0	0.960714285714286	0	0.932142857142857	0	0.917857142857143	0	0	0	0.814285714285714	0	0	0	0	0	0	0.735714285714286	0.892857142857143	0	0.92115287031146	0	0	0.914285714285714	0.881144230312398	0	0	0.921428571428571	0.857909189756493	0	0	0.785714285714286	0.934763554672179	0.860714285714286	0	0.863804831692848	0	0.871428571428571	0	-0.882142857142857	0.8807263440927	0	0.732142857142857	0.964285714285714	0.910714285714286	0.859696500568486	0.782142857142857	0.714285714285714	0	0	0	0	0.95	0.884718851936384	0.907953892492289	0.889285714285714	0.889285714285714	0	0	0.903571428571429	0	0.896428571428571	0.884718851936384	0.773905581592837	0	0	0	0.871428571428571	0.883722344275414	0	0	0	0	0.892857142857143	0	0	0.9	0	0.862255404738359	0.795353311336749	0.831099527576603	0.878571428571429	0.9	0	0	0	0.771428571428571	0.947274730356128	0	0	0	0.902591960056311	0	0.963360527664062	0	0	0	0.926656223349523	0.814285714285714	-0.713775739607065
Bryobacter	-0.960714285714286	-0.775	0	0	0	0	0	0	-0.807142857142857	0	0	0.728571428571429	0	0	0.957142857142857	0	0	0.907142857142857	0	0	0	0.946428571428571	0.817857142857143	0.796428571428571	0.853571428571429	0	0.975	0	0.95	0	0.946428571428571	0	0	0	0.939285714285714	0	0	0	0	0	0	0.803571428571429	0.85	0	0.906815860656807	0	0	0.910714285714286	0.852547257320515	0	0	0.932142857142857	0.920465068176238	0	0	0.832142857142857	0.929401622236201	0.839285714285714	0	0.967748151689083	0	0.925	0	-0.807142857142857	0.891488784142713	0	0.739285714285714	0.942857142857143	0.903571428571429	0.852547257320515	0.789285714285714	0.710714285714286	0.721428571428571	0.778571428571429	0	0	0.932142857142857	0.929401622236201	0.820375662704647	0.928571428571429	0.903571428571429	0	0	0.957142857142857	0.760714285714286	0.957142857142857	0.932976243860187	0.900804649244318	0	0	0	0.917857142857143	0.917711665209084	0	0	0	0	0.932142857142857	0	0	0.917857142857143	0	0.894455814043941	0.863271122192471	0.886506162748377	0.867857142857143	0.978571428571429	0	0	0	0.728571428571429	0.92225237898823	0	0.742857142857143	0	0.924039689800223	0	0.950849351980114	0	0	0	0.933811869861875	0.885714285714286	0
Blastocatella	0	0	0	0.771428571428571	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.814285714285714	-0.732142857142857	0	0	0	0	0	0	0	0	0	0	0	0	-0.771428571428571	0	0	0	0.735714285714286	0	0	0.814285714285714	0	0	0.798927932960734	0	0.721428571428571	0.721428571428571	0.7095623923611	0	0	0	0	0.817857142857143	0	0	0	0	0	0	0.75875202352589	0	0.867857142857143	0	0	0	0.721428571428571	0	0	0	0.75	0	0	0	0.891868095184355	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.717857142857143	0	0.722073568045049	0	0	0	0	0	0.757142857142857	0	0	0	0	0	0	0	0	0	0.702413149113129	0	0	0	0	0	0	0	0
Steroidobacter	0	0.763181716720881	0.773905581592837	0	0	0	0	0.800536672629696	0.815013730268669	0	0.7095623923611	0	0.727435500481027	0	0	0.776386404293381	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.904293381037567	0	0	0.806077176208705	0.710196779964222	0	0	0.747763864042934	0	0	0	0.927614311424208	0	0	0	0	0	0	0	0	0	0.806077176208705	0	0	0	0	0.802148933808463	0	0	0	0	0	0	0	0	0	0	-0.785330948121646	0	0	0	0	0	0	0	0	0	-0.73637205454099	0	0.791778689712764	0	0	-0.702413149113129	0	0	0	0.750670541036932	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.789803220035778	0	0	0	0	0	0	0	0	0	0	0.761862436016743
Gaiella	-0.978571428571429	-0.742857142857143	0	0	0	0	0	-0.752457851848924	-0.782142857142857	0	0	0	0	0	0.907142857142857	0	0	0.907142857142857	0.946428571428571	0	0	0	0.796428571428571	0	0.885714285714286	0	0.946428571428571	0	0.960714285714286	0	0.925	0	-0.731010122105012	0	0.917857142857143	0	0	0	0	0	0	0.746428571428571	0.914285714285714	0	0.870973336520175	0	0	0.885714285714286	0.87578229787642	-0.710714285714286	0.707142857142857	0.896428571428571	0.956211284416092	0	0	0.821428571428571	0.900804649244318	0.907142857142857	0	0.96416389927542	0	0.917857142857143	0	-0.882142857142857	0.909426184226067	0	0.785714285714286	0.921428571428571	0.878571428571429	0.877569608688413	0.810714285714286	0.778571428571429	0.728571428571429	0	0	0	0.917857142857143	0.975871703348011	0.841823392448559	0.910714285714286	0.828571428571429	0	0	0.975	0	0.95	0.931188933048194	0.843610703260552	0	0	0	0.860714285714286	0.919500576837172	0	0	0	0	0.985714285714286	0	0	0.882142857142857	0	0.960645544283193	0.873994987064428	0.809651797832691	0.935714285714286	0.939285714285714	0	0	0	0.721428571428571	0.932976243860187	0	0	0	0.949062041168121	0	0.947274730356128	0	0	0	0.903400372184381	0.842857142857143	-0.72629812100368
Hyphomicrobium	-0.821428571428571	0	0	0	0	0.789285714285714	0	0	-0.7	0	0	0.796428571428571	0	0	0.885714285714286	0	0	0.725	0.817857142857143	0	0	0.796428571428571	0	0	0.789285714285714	0	0.807142857142857	0	0.825	0	0.732142857142857	0	0	0	0.892857142857143	0	0	0	0	0	0	0.925	0	0	0.774198521351266	0.814285714285714	0	0.757142857142857	0.773905581592837	0	0.814285714285714	0.796428571428571	0.793566000524756	0	0	0.814285714285714	0.795353311336749	0.764285714285714	0	0.831546559969879	0	0.817857142857143	0	0	0.740814623442536	0	0.828571428571429	0.710714285714286	0.778571428571429	0	0.921428571428571	0	0.857142857142857	0	0	0.764285714285714	0.832142857142857	0.831099527576603	0.768543649156859	0.853571428571429	0.753571428571429	0	0	0.821428571428571	0	0.85	0.840036081636567	0.866845743816457	0	0	0	0.885714285714286	0.826477172176602	0	0	0	0.778571428571429	0.8	0	0.734584743728998	0.885714285714286	0	0.815743702408074	0.902591960056311	0.857909189756493	0.753571428571429	0.860714285714286	0	0	0	0	0.804289865396713	0	0	0	0.806077176208705	0	0.788204068088778	0	0	0	0.797854586127196	0.878571428571429	0
Chryseolinea	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.796428571428571	0	0	0	0	0	0	0	0.742857142857143	0	0	0	0.85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.710714285714286	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.778571428571429	0	0	0	0	0	0.735714285714286	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.739285714285714	0	0	0	0	0	0.721428571428571	0	0	0	0.714285714285714	0	0	0.728571428571429	0	0	0	0	0	0	0	0	0	0
Massilia	-0.864285714285714	0	0	0	0	0.764285714285714	0	0	0	0	0	0.7	0	0	0.825	0	0	0.878571428571429	0.853571428571429	0.814285714285714	0	0.885714285714286	0.789285714285714	0	0	0	0.860714285714286	0	0.864285714285714	0	0.828571428571429	0	0	0	0.828571428571429	0	0	0	0	0	0	0	0.914285714285714	0	0.870973336520175	0.796428571428571	0	0.903571428571429	0.907953892492289	0	0	0.935714285714286	0.907953892492289	0	0	0.907142857142857	0.888293473560369	0.928571428571429	0	0.878141841347501	0	0.839285714285714	0	-0.75	0.927363584309422	0	0.892857142857143	0.814285714285714	0.917857142857143	0.866845743816457	0.782142857142857	0.703571428571429	0	0	0	0	0.842857142857143	0.873994987064428	0.934763554672179	0.821428571428571	0.839285714285714	0	0	0.860714285714286	0	0.857142857142857	0.832886838388596	0.75603247347291	0	0	0	0.892857142857143	0.822899348920426	0	0	0	0.746428571428571	0.928571428571429	0	0.757819784284902	0.789285714285714	0	0.838999553573217	0.772118270780844	0.722073568045049	0.921428571428571	0.875	0	0	0	0	0.84897263569653	0	0	0	0.865058433004464	0	0.89544271680834	0	0	0	0.844366288457481	0.853571428571429	0
unidentified_Nitrospiraceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.732142857142857	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.810714285714286	0	0.764969027532873	0	0	0	0	0	0	0	0	0.789285714285714	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.710197916350889	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bradyrhizobium	-0.960714285714286	-0.767857142857143	0	0	0	0.714285714285714	0	0	-0.814285714285714	0	0	0.757142857142857	0	0	0.942857142857143	0	0	0.960714285714286	0.975	0	0	0.946428571428571	0.807142857142857	0.742857142857143	0.860714285714286	0	0	0	0.971428571428571	0	0.935714285714286	0	-0.7095623923611	0	0.903571428571429	0	0	0	0	0	0	0.821428571428571	0.889285714285714	0	0.93190562755245	0	0	0.917857142857143	0.902591960056311	0	0	0.946428571428571	0.900804649244318	0	0	0.821428571428571	0.956211284416092	0.875	0	0.93190562755245	0	0.942857142857143	0	-0.839285714285714	0.90045748418439	0	0.75	0.964285714285714	0.914285714285714	0.886506162748377	0.814285714285714	0.753571428571429	0	0.721428571428571	0	0	0.967857142857143	0.927614311424208	0.873994987064428	0.95	0.910714285714286	0	0	0.957142857142857	0	0.953571428571429	0.934763554672179	0.872207676252435	0	0	0	0.910714285714286	0.928445134977611	0	0	0	0	0.925	0	0	0.939285714285714	0	0.883722344275414	0.857909189756493	0.900804649244318	0.9	0.960714285714286	0	0	0	0.735714285714286	0.94191279792015	0	0.710714285714286	0	0.932976243860187	0	0.970509770912033	0	0	0	0.960645544283193	0.882142857142857	0
Ohtaekwangia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.753571428571429	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.798927932960734	0	0	0
Roseiflexus	-0.957142857142857	-0.732142857142857	0	0	0	0.746428571428571	0	-0.711349703173092	-0.821428571428571	0	0	0.75	0	0	0.957142857142857	0	0	0.932142857142857	0.95	0	0	0.960714285714286	0.825	0	0.864285714285714	0	0.971428571428571	0	0	0	0.896428571428571	0	-0.748883230224939	0	0.910714285714286	0	0	0	0	0	0	0.814285714285714	0.892857142857143	0	0.896063103415817	0	0	0.903571428571429	0.884718851936384	0	0	0.907142857142857	0.888293473560369	0	0	0.796428571428571	0.950849351980114	0.878571428571429	0	0.939074132379777	0	0.953571428571429	0	-0.885714285714286	0.893282524151048	0	0.739285714285714	0.928571428571429	0.914285714285714	0.884718851936384	0.842857142857143	0.803571428571429	0.753571428571429	0	0	0	0.971428571428571	0.96872246010004	0.859696500568486	0.960714285714286	0.889285714285714	-0.728571428571429	0	0.960714285714286	0	0.975	0.947274730356128	0.906166581680296	0	0	0	0.907142857142857	0.964223367539369	0	0	0	0	0.942857142857143	0	0	0.907142857142857	0	0.901611460556293	0.913315824928267	0.891868095184355	0.907142857142857	0.953571428571429	0	0	0	0.725	0.950849351980114	0	0	0	0.970509770912033	0	0.950849351980114	0	0	0	0.951700986142754	0.9	0
Devosia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.752457851848924	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.742857142857143	0	0	0	0	0	0	0	0	0	0	0.707142857142857	0	0	0	0	0	0	0	0	0	0	0.764285714285714	0	0	0	0	0	0	0	0	0	0	0	0	0.814285714285714	0	0	0	0	0.717857142857143	0	0	0	0	0	0	0	0	0	0
Promicromonospora	-0.907142857142857	0	0	0	0	0	0	0	0	0	0	0	0	0	0.878571428571429	0	-0.710714285714286	0.917857142857143	0.946428571428571	0	0	0.925	0.732142857142857	0.85	0.828571428571429	0	0.935714285714286	0	0.896428571428571	0	0	0	0	0	0.846428571428571	0	0	0	0	0	0	0	0.842857142857143	0	0.838715064797205	0	0	0.839285714285714	0.807864487020698	0	0	0.882142857142857	0.891868095184355	0	0	0.789285714285714	0.859696500568486	0.814285714285714	0	0.892478851002154	0	0.846428571428571	0	-0.857142857142857	0.853820243967669	0	0.710714285714286	0.957142857142857	0.903571428571429	0.761394405908888	0.764285714285714	0	0	0.735714285714286	0	0	0.896428571428571	0.884718851936384	0.813226419456676	0.835714285714286	0.842857142857143	0	0	0.892857142857143	0	0.917857142857143	0.87578229787642	0.786416757276786	0	0	0	0.853571428571429	0.867622139622623	0	0	0	0	0.9	0	0	0.896428571428571	0	0.883722344275414	0.797140622148742	0.807864487020698	0.835714285714286	0.9	0	0	0	0.817857142857143	0.897230027620333	0	0.75	0	0.86863305462845	0	0.920465068176238	0	0	0	0.844366288457481	0.796428571428571	0
Serratia	0	0	0	0	0	0	0	0.75603247347291	0	0.760714285714286	0	0	0	0	0	0	0.710714285714286	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.763181716720881	0	0	0	0	0	0	0.91510313574026	0	0	0	0	0	0	0	0	0.775	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.916890446552252	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.739285714285714	0	0	0	0	0.817857142857143	0	0	0	0	0	0	0	0	0	0	0	0	0	0.80250255458472	0	0	0	0	0	0	0	0	0.725	0	0	0	0	0	0	0.824688260548514
Agromyces	0.743521297788961	0.834674149200588	0.722073568045049	0	0	0	0	0.87298747763864	0.873994987064428	0	0	0	0	0	0	0	0	0	0	0	0.904293381037567	-0.731010122105012	0	0	0	0	-0.7095623923611	0	-0.748883230224939	0	0	0	0	0	0	0.811439108644683	0	0	0	0	0	0	-0.713137013985085	0.893655405996347	-0.792827981847514	0	0	-0.806077176208705	0	0.781054824840808	0	-0.734584743728998	-0.738819320214669	0	0	0	-0.728085867620751	-0.702413149113129	0.715309149679645	-0.747984770204555	0	-0.80250255458472	0	0	-0.750453670800484	0.727191413237925	0	0	0	-0.831842576028623	0	0	0	0	0	0	0	-0.754919499105546	0	-0.816801041080661	-0.727435500481027	0.882931541124391	0	-0.773905581592837	0	0	0	0	0.700625838301136	0	0	0	-0.734109515315781	0	0	0	0	-0.732797432917005	0	0	0	0	0	0	0	-0.764969027532873	-0.732797432917005	0	0	0	0	0	0.754919499105546	0	0	-0.720930232558139	0	-0.745974955277281	0	0	0	-0.777081779626948	0	0.821844554951081
Phenylobacterium	0	0	0	0	0	0	0	0	0	0.759607095096895	0	0	0	0	0	0	0.773905581592837	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.763181716720881	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.768336314847943	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.952636662792106	0.757602862254025	0	0	0	0	0	0	0	0	0	0	0	0	0.856887298747764	0	0	0	0	0	0	0	0	0.92225237898823	0	0	0	0.769230769230769	0	0	0
Enterococcus	-0.917857142857143	-0.703571428571429	0	0	0	0.721428571428571	0	0	-0.807142857142857	0	0	0.810714285714286	0	0	0.935714285714286	0	0	0.814285714285714	0.939285714285714	0	0	0.917857142857143	0.892857142857143	0	0.828571428571429	0	0.903571428571429	0	0.910714285714286	0	0.846428571428571	0	0	0	0	0	0	0	0	0	0	0.889285714285714	0.832142857142857	0	0.831546559969879	0.725	0	0.860714285714286	0.841823392448559	0	0.785714285714286	0.864285714285714	0.911528514116274	0	0	0.867857142857143	0.909741203304282	0.835714285714286	0	0.939074132379777	0	0.889285714285714	0	-0.725	0.823326663825966	0	0.807142857142857	0.828571428571429	0.832142857142857	0.795353311336749	0.853571428571429	0.807142857142857	0.835714285714286	0.721428571428571	0	0	0.907142857142857	0.927614311424208	0.739946676164976	0.910714285714286	0.864285714285714	0	0	0.939285714285714	0.707142857142857	0.903571428571429	0.861483811380479	0.934763554672179	0	0	0	0.857142857142857	0.869411051250711	0	0	0	0.717857142857143	0.907142857142857	0	0	0.882142857142857	0	0.894455814043941	0.916890446552252	0.859696500568486	0.85	0.932142857142857	0	0	0	0	0.850759946508523	0	0	0	0.866845743816457	0	0.906166581680296	0	0	0	0.880144521019238	0.921428571428571	0
Flavisolibacter	0	0.764285714285714	0.853571428571429	0	0	0	0	0.768543649156859	0	0.75	0.832142857142857	0	0.807142857142857	0.710714285714286	0	0.759607095096895	0	0	0	0	0.806077176208705	0	0	0	0	0	0	0	0	0	0	0	0.811439108644683	0	0	0	0.704200459925122	0.807142857142857	0	0.763181716720881	0	0	0	0.864285714285714	0	0	0.796428571428571	0	0	0.742857142857143	0	0	0	0.85	0	0	0	0	0.808588055895723	0	0	0	0	0	0	0.759607095096895	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.7	0	0	0	0	0	0	0.757142857142857	0.771428571428571	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.727435500481027	0	0	0	0	0.950849351980114	0	0	0	0	0	0.795353311336749	0	0	0	0	0.792487851242932
Methylotenera	0	0.750670541036932	0.902591960056311	0	0	0	0	0	0	0	0.795353311336749	0	0.731010122105012	0.731010122105012	0	0.866726296958855	0	0	0	0	0.710196779964222	0	0	0	0	0	0	0	0	-0.752457851848924	0	0	0	0	0	0.704200459925122	0	0.75603247347291	0	0.764758497316637	0	0	0	0.766756338344866	0	0	0.770330959968851	0	0	0	0	0	0	0.707775081549107	0	0	0	0	0.949866092378102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.752457851848924	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.713137013985085	0.91510313574026	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dyadobacter	0	0	0.8	0	0.746428571428571	0	0.881144230312398	0	0	0.764285714285714	0.942857142857143	0	0.921428571428571	0.875	0	0.852547257320515	0.75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.807142857142857	0.75603247347291	0	0	0.907953892492289	0	0	0	0	0	0	0.910714285714286	0	0	0	0	0	0	0.903571428571429	0	0	0	0	0.815743702408074	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.732142857142857	0.864285714285714	0	0	0	0	0.809651797832691	0	0	0	0.711349703173092	0	0	0	0	0	0	0	0	0.738159365352983	0	0	0	0	0.818588351892654	0	0	0	0	0	0.732797432917005	0	0.807864487020698	0	0	0
unidentified_Methylophilaceae	0	0	0	-0.85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.771428571428571	0	0	0	0	0	0.810714285714286	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.757142857142857	0	0	0	0	-0.753571428571429	0	0	0	0	0	0	0	0	0	-0.760714285714286	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.703571428571429	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.742857142857143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
